set_num,set_name,year,theme_id,num_parts,total_part_count,unique_part_count,minifig_count,spare_part_ratio,h_cat,h_col,n_distinct_colors,n_distinct_categories,prop_technic,prop_printed,prop_transparent,rare_part_ratio,minifig_to_part_ratio,has_minifigs,year_window,window_index
30310-1,Arctic Scout,2014,65,39,34.0,21.0,1.0,0.17073170731707318,2.361885177723891,1.7662009951444593,8.0,12.0,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.029411764705882353,0.029411764705882353,1.0,2014,31
30311-1,Swamp Police Helicopter,2015,61,51,46.0,26.0,1.0,0.09803921568627451,2.2117968661658285,1.9283161090756464,8.0,11.0,0.0,0.0,0.13043478260869565,0.0,0.021739130434782608,1.0,2015,32
30312-1,Demolition Driller,2015,56,40,36.0,21.0,1.0,0.07692307692307693,2.2362301169599146,1.5097528808959286,5.0,12.0,0.0,0.0,0.05555555555555555,0.0,0.027777777777777776,1.0,2015,32
30313-1,Garbage Truck,2015,63,48,44.0,26.0,1.0,0.08333333333333333,2.5770235581922316,1.9714002717074381,9.0,16.0,0.0,0.0,0.06818181818181818,0.0,0.022727272727272728,1.0,2015,32
30314-1,Go-Kart Racer,2015,52,45,40.0,22.0,1.0,0.06976744186046512,2.135131334480177,1.926509628643275,9.0,12.0,0.0,0.0,0.1,0.0,0.025,1.0,2015,32
30315-1,Space Utility Vehicle,2015,52,39,34.0,19.0,1.0,0.0,2.379310754571141,1.994127786052252,9.0,13.0,0.0,0.029411764705882353,0.058823529411764705,0.0,0.029411764705882353,1.0,2015,32
30320-1,Gallimimus Trap,2015,602,29,29.0,21.0,0.0,0.09375,2.6024437686789477,2.2434520879279987,11.0,15.0,0.13793103448275862,0.06896551724137931,0.13793103448275862,0.06896551724137931,0.0,0.0,2015,32
3032-1,Medium Bucket,1999,467,600,600.0,10.0,0.0,0.0,-0.0,1.7377836270004976,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,16
3033-1,Basic Bulk Tub (American Version),1998,467,1200,1200.0,10.0,0.0,0.0,-0.0,1.7377836270004976,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,15
30331-1,The Nether Duel,2021,577,37,28.0,16.0,2.0,0.0967741935483871,1.618663459100258,2.104744604528229,10.0,7.0,0.0,0.0,0.2857142857142857,0.0,0.07142857142857142,1.0,2021,38
30338-1,Fire Car,2017,591,32,28.0,19.0,1.0,0.034482758620689655,2.1439522006438687,2.0541982331761925,10.0,11.0,0.0,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.03571428571428571,1.0,2017,34
30339-1,Traffic Light Patrol,2018,591,34,30.0,17.0,1.0,0.03225806451612903,2.116341864768552,1.7221399601140668,9.0,11.0,0.0,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.03333333333333333,1.0,2018,35
30340-1,Emmet's 'Piece' Offering,2019,670,44,40.0,10.0,1.0,0.0,1.2761125436288947,1.1977261613182184,5.0,4.0,0.0,0.0,0.0,0.0,0.025,1.0,2019,36
3034-1,25th Anniversary Silver Bucket,1998,399,417,417.0,76.0,0.0,0.00477326968973747,1.5559418160858312,1.7935417533166071,10.0,26.0,0.0,0.02877697841726619,0.004796163069544364,0.016786570743405275,0.0,0.0,1998,15
